"","vote_2020","gender","race","educd","state","age","dummy_vote","stateicp"
"2120","Donald Trump","male","white","Graduated high school","KY","60 plus",0,"kentucky"
"2121","Donald Trump","male","white","Graduated high school","NJ","60 plus",0,"new jersey"
"2122","Donald Trump","female","white","Didn't graduate college","OK","30 to 44",0,"oklahoma"
"2123","Donald Trump","male","white","Graduated high school","TX","18 to 29",0,"texas"
"2124","Joe Biden","female","black/african american","Didn't graduate high school","FL","18 to 29",1,"florida"
"2125","Donald Trump","male","black/african american","Graduated college","NY","45 to 55",0,"new york"
"2126","Donald Trump","female","white","Graduated high school","CA","45 to 55",0,"california"
"2127","Donald Trump","male","white","Graduated college","OR","30 to 44",0,"oregon"
"2128","Joe Biden","female","white","Didn't graduate college","TX","45 to 55",1,"texas"
"2129","Donald Trump","female","white","Graduated college","SC","45 to 55",0,"south carolina"
"2130","Donald Trump","male","other race, nec","Graduated college","NY","30 to 44",0,"new york"
"2131","Joe Biden","female","black/african american","Graduated college","AL","30 to 44",1,"alabama"
"2132","Donald Trump","male","white","Graduated college","NJ","30 to 44",0,"new jersey"
"2133","Joe Biden","female","white","Graduated college","MO","45 to 55",1,"missouri"
"2134","Joe Biden","male","black/african american","Graduated high school","GA","18 to 29",1,"georgia"
"2135","Joe Biden","male","black/african american","Graduated high school","FL","18 to 29",1,"florida"
"2136","Joe Biden","female","white","Didn't graduate high school","CA","30 to 44",1,"california"
"2137","Joe Biden","female","white","Didn't graduate college","WI","45 to 55",1,"wisconsin"
"2138","Donald Trump","female","other race, nec","Graduated college","TX","60 plus",0,"texas"
"2139","Donald Trump","male","other race, nec","Didn't graduate high school","TX","18 to 29",0,"texas"
"2140","Joe Biden","male","other asian or pacific islander","Didn't graduate high school","HI","18 to 29",1,"hawaii"
"2141","Joe Biden","female","american indian or alaska native","Graduated college","IN","45 to 55",1,"indiana"
"2142","Donald Trump","female","other race, nec","Graduated high school","FL","18 to 29",0,"florida"
"2143","Donald Trump","male","white","Didn't graduate college","IN","60 plus",0,"indiana"
